term,count,doc_freq,rel_freq
opposite,5,4,0.00030641009927687217
superior,5,5,0.00030641009927687217
spider,5,4,0.00030641009927687217
emerald,5,5,0.00030641009927687217
secret,5,4,0.00030641009927687217
however,5,4,0.00030641009927687217
started,5,4,0.00030641009927687217
son,5,5,0.00030641009927687217
brooms,5,3,0.00030641009927687217
bloom,5,5,0.00030641009927687217
shame,5,4,0.00030641009927687217
cause,5,4,0.00030641009927687217
numb,5,5,0.00030641009927687217
sum,5,5,0.00030641009927687217
sweetest,4,4,0.00024512807942149775
clear,4,3,0.00024512807942149775
forbidden,4,4,0.00024512807942149775
share,4,3,0.00024512807942149775
blank,4,3,0.00024512807942149775
wilt,4,4,0.00024512807942149775
poverty,4,3,0.00024512807942149775
repeat,4,4,0.00024512807942149775
ring,4,4,0.00024512807942149775
scant,4,4,0.00024512807942149775
rock,4,4,0.00024512807942149775
suffering,4,4,0.00024512807942149775
dress,4,4,0.00024512807942149775
girl,4,4,0.00024512807942149775
familiar,4,4,0.00024512807942149775
heads,4,4,0.00024512807942149775
denied,4,4,0.00024512807942149775
unmoved,4,3,0.00024512807942149775
pair,4,4,0.00024512807942149775
charge,4,4,0.00024512807942149775
grows,4,4,0.00024512807942149775
ready,4,3,0.00024512807942149775
strove,4,4,0.00024512807942149775
witness,4,4,0.00024512807942149775
shone,4,4,0.00024512807942149775
river,4,3,0.00024512807942149775
names,4,4,0.00024512807942149775
celestial,4,4,0.00024512807942149775
began,4,4,0.00024512807942149775
taste,4,4,0.00024512807942149775
drink,4,4,0.00024512807942149775
hate,4,4,0.00024512807942149775
guessed,4,4,0.00024512807942149775
wall,4,4,0.00024512807942149775
runs,4,4,0.00024512807942149775
seal,4,4,0.00024512807942149775
sign,4,4,0.00024512807942149775
ages,4,4,0.00024512807942149775
daffodil,4,4,0.00024512807942149775
doom,4,4,0.00024512807942149775
farthest,4,4,0.00024512807942149775
delayed,4,3,0.00024512807942149775
certain,4,4,0.00024512807942149775
ignorant,4,4,0.00024512807942149775
state,4,4,0.00024512807942149775
august,4,4,0.00024512807942149775
brooks,4,4,0.00024512807942149775
spotted,4,4,0.00024512807942149775
shelf,4,4,0.00024512807942149775
key,4,4,0.00024512807942149775
cup,4,4,0.00024512807942149775
gaze,4,4,0.00024512807942149775
jesus,4,3,0.00024512807942149775
homesick,4,3,0.00024512807942149775
hell,4,4,0.00024512807942149775
renunciation,4,1,0.00024512807942149775
revelations,4,4,0.00024512807942149775
blew,4,4,0.00024512807942149775
sealed,4,4,0.00024512807942149775
permitted,4,4,0.00024512807942149775
fast,4,4,0.00024512807942149775
bound,4,3,0.00024512807942149775
childhood,4,3,0.00024512807942149775
choice,4,4,0.00024512807942149775
existence,4,4,0.00024512807942149775
interview,4,4,0.00024512807942149775
wife,4,3,0.00024512807942149775
safer,4,3,0.00024512807942149775
punctual,4,4,0.00024512807942149775
