id,title,top_terms
57,THE SEA OF SUNSET.,"night:0.356, washes:0.322, banks:0.322, dip:0.322, horizons:0.306, sails:0.276, mystery:0.269, sunset:0.269, yellow:0.247, rose:0.229, land:0.226, purple:0.215, sea:0.195"
58,PURPLE CLOVER.,"doth:0.273, sun:0.172, cancelled:0.154, public:0.154, spice:0.154, bravest:0.154, proclaimed:0.154, orchis:0.154, prefer:0.154, capacity:0.154, ruddier:0.154, newer:0.154, aware:0.154, fashions:0.147, jealousy:0.147"
59,THE BEE.,"bee:0.271, clovers:0.216, chant:0.216, experience:0.216, jar:0.216, chrysoprase:0.216, gauze:0.216, assault:0.216, tracks:0.216, cars:0.216, labor:0.216, idleness:0.206, velvet:0.206, trains:0.206, plush:0.191"
60,Presentiment is that long shadow on the lawn,"suns:0.412, shadow:0.412, presentiment:0.412, lawn:0.354, notice:0.345, pass:0.297, grass:0.285, long:0.278"
61,"As children bid the guest good-night,","flowers:0.400, children:0.374, merry:0.255, nightgowns:0.255, bid:0.255, reluctant:0.243, raise:0.243, peep:0.243, wake:0.234, caper:0.234, pretty:0.214, turn:0.214, guest:0.214, lips:0.204, morn:0.200"
62,Angels in the early morning,"plucking:0.420, flying:0.420, stooping:0.404, angels:0.314, seen:0.306, belong:0.210, smiling:0.210, sands:0.202, dews:0.202, early:0.173, flowers:0.173, bear:0.173, morning:0.135, sun:0.123"
63,"So bashful when I spied her,","betrayed:0.267, struggling:0.267, blushing:0.267, robbed:0.254, breathless:0.254, ashamed:0.254, doubtless:0.244, bashful:0.236, spied:0.229, turned:0.229, bore:0.223, pretty:0.223, anybody:0.223, ask:0.205, simple:0.198"
64,TWO WORLDS.,"misery:0.272, mornings:0.272, flame:0.272, seasons:0.249, brooks:0.249, blossom:0.249, noons:0.249, calvary:0.241, difference:0.241, split:0.234, passing:0.228, judgment:0.222, fit:0.213, abroad:0.209, makes:0.206"
65,THE MOUNTAIN.,"prayed:0.363, chair:0.346, sat:0.332, seasons:0.332, mountain:0.321, plain:0.304, dawn:0.297, round:0.270, days:0.270, children:0.266, like:0.163"
66,A DAY.,"'':0.245, sun:0.240, stile:0.215, climbing:0.215, bonnets:0.215, squirrels:0.215, reached:0.205, amethyst:0.205, gently:0.205, ran:0.205, girls:0.197, led:0.190, boys:0.190, bars:0.185, steeples:0.185"
