bigram,count,doc_freq,rel_freq
till ceased,2,2,0.0001260239445494644
ceased know,2,2,0.0001260239445494644
death oh,2,2,0.0001260239445494644
would could,2,2,0.0001260239445494644
departed judgment,2,2,0.0001260239445494644
clouds like,2,2,0.0001260239445494644
safe alabaster,2,2,0.0001260239445494644
alabaster chambers,2,2,0.0001260239445494644
long storm,2,2,0.0001260239445494644
storm rainbow,2,2,0.0001260239445494644
rainbow rose,2,2,0.0001260239445494644
cocoon tightens,2,2,0.0001260239445494644
tightens colors,2,2,0.0001260239445494644
colors tease,2,2,0.0001260239445494644
exultation going,2,2,0.0001260239445494644
back time,2,2,0.0001260239445494644
time kindly,2,2,0.0001260239445494644
kindly eyes,2,2,0.0001260239445494644
died beauty,2,2,0.0001260239445494644
beauty scarce,2,2,0.0001260239445494644
times low,2,2,0.0001260239445494644
low feet,2,2,0.0001260239445494644
feet staggered,2,2,0.0001260239445494644
look agony,2,2,0.0001260239445494644
glaze death,2,2,0.0001260239445494644
short potential,2,2,0.0001260239445494644
potential stir,2,2,0.0001260239445494644
oh thou,2,2,0.0001260239445494644
thank slept,2,1,0.0001260239445494644
seen dying,2,2,0.0001260239445494644
dying eye,2,2,0.0001260239445494644
clouds backs,2,2,0.0001260239445494644
backs together,2,2,0.0001260239445494644
together laid,2,2,0.0001260239445494644
till fell,2,2,0.0001260239445494644
saw moor,2,2,0.0001260239445494644
god permits,2,2,0.0001260239445494644
permits industrious,2,2,0.0001260239445494644
industrious angels,2,2,0.0001260239445494644
know suffered,2,2,0.0001260239445494644
suffered would,2,2,0.0001260239445494644
would dear,2,2,0.0001260239445494644
might know,2,2,0.0001260239445494644
last night,2,2,0.0001260239445494644
night lived,2,2,0.0001260239445494644
light upon,2,2,0.0001260239445494644
could exist,2,2,0.0001260239445494644
world see,2,2,0.0001260239445494644
bustle house,2,2,0.0001260239445494644
reason earth,2,2,0.0001260239445494644
earth short,2,2,0.0001260239445494644
afraid afraid,2,2,0.0001260239445494644
sun kept,2,2,0.0001260239445494644
kept setting,2,2,0.0001260239445494644
setting setting,2,2,0.0001260239445494644
setting still,2,2,0.0001260239445494644
dew upon,2,2,0.0001260239445494644
two swimmers,2,2,0.0001260239445494644
swimmers wrestled,2,2,0.0001260239445494644
wrestled spar,2,2,0.0001260239445494644
face upon,2,2,0.0001260239445494644
stop death,2,2,0.0001260239445494644
went quiet,2,2,0.0001260239445494644
quiet dew,2,2,0.0001260239445494644
last identified,2,2,0.0001260239445494644
rest life,2,2,0.0001260239445494644
heaven nought,2,2,0.0001260239445494644
death dialogue,2,2,0.0001260239445494644
late man,2,2,0.0001260239445494644
early yet,2,2,0.0001260239445494644
heaven earth,2,2,0.0001260239445494644
small woman,2,2,0.0001260239445494644
woman died,2,2,0.0001260239445494644
daisy follows,2,2,0.0001260239445494644
follows soft,2,2,0.0001260239445494644
soft sun,2,2,0.0001260239445494644
art thou,2,2,0.0001260239445494644
'' sir,2,2,0.0001260239445494644
rack torture,2,2,0.0001260239445494644
lost world,2,2,0.0001260239445494644
world day,2,2,0.0001260239445494644
frugal eye,2,2,0.0001260239445494644
one red,2,2,0.0001260239445494644
sleep supposed,2,2,0.0001260239445494644
day morning,2,2,0.0001260239445494644
shall know,2,2,0.0001260239445494644
lost much,2,2,0.0001260239445494644
much twice,2,2,0.0001260239445494644
series edited,2,2,0.0001260239445494644
left behind,2,2,0.0001260239445494644
sent friends,2,2,0.0001260239445494644
many cases,2,1,0.0001260239445494644
present volume,2,2,0.0001260239445494644
sometimes almost,2,2,0.0001260239445494644
looked upon,2,2,0.0001260239445494644
thought could,2,2,0.0001260239445494644
till paradise,2,2,0.0001260239445494644
tell name,2,2,0.0001260239445494644
bring unaccustomed,2,2,0.0001260239445494644
unaccustomed wine,2,2,0.0001260239445494644
next mine,2,2,0.0001260239445494644
would soon,2,2,0.0001260239445494644
nearest dream,2,2,0.0001260239445494644
dream recedes,2,2,0.0001260239445494644
recedes unrealized,2,2,0.0001260239445494644
play paste,2,2,0.0001260239445494644
found phrase,2,2,0.0001260239445494644
phrase every,2,2,0.0001260239445494644
every thought,2,2,0.0001260239445494644
hope thing,2,2,0.0001260239445494644
thing feathers,2,2,0.0001260239445494644
dare see,2,2,0.0001260239445494644
see soul,2,2,0.0001260239445494644
soul white,2,2,0.0001260239445494644
lost unprepared,2,2,0.0001260239445494644
shore many,2,2,0.0001260239445494644
say many,2,2,0.0001260239445494644
day many,2,2,0.0001260239445494644
wade grief,2,2,0.0001260239445494644
hear word,2,2,0.0001260239445494644
word escape,2,2,0.0001260239445494644
escape '',2,2,0.0001260239445494644
ecstatic instant,2,2,0.0001260239445494644
straight pass,2,2,0.0001260239445494644
pass suffering,2,2,0.0001260239445494644
feet upon,2,2,0.0001260239445494644
meant modest,2,2,0.0001260239445494644
modest needs,2,2,0.0001260239445494644
could lie,2,2,0.0001260239445494644
thought beneath,2,2,0.0001260239445494644
beneath slight,2,2,0.0001260239445494644
slight film,2,2,0.0001260239445494644
soul unto,2,2,0.0001260239445494644
surgeons must,2,2,0.0001260239445494644
must careful,2,2,0.0001260239445494644
like see,2,2,0.0001260239445494644
see lap,2,2,0.0001260239445494644
lap miles,2,2,0.0001260239445494644
show show,2,2,0.0001260239445494644
delight becomes,2,2,0.0001260239445494644
becomes pictorial,2,2,0.0001260239445494644
thought went,2,2,0.0001260239445494644
went mind,2,2,0.0001260239445494644
soul know,2,2,0.0001260239445494644
heaven physician,2,2,0.0001260239445494644
though get,2,2,0.0001260239445494644
home late,2,2,0.0001260239445494644
late late,2,2,0.0001260239445494644
say say,2,2,0.0001260239445494644
poor torn,2,2,0.0001260239445494644
torn heart,2,2,0.0001260239445494644
heart tattered,2,2,0.0001260239445494644
tattered heart,2,2,0.0001260239445494644
glad see,2,2,0.0001260239445494644
tossed tossed,2,2,0.0001260239445494644
victory comes,2,2,0.0001260239445494644
comes late,2,2,0.0001260239445494644
god gave,2,2,0.0001260239445494644
gave loaf,2,2,0.0001260239445494644
loaf every,2,2,0.0001260239445494644
country need,2,2,0.0001260239445494644
